gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_Fiber optic,InternetService_No,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,n_services,charge_tenure_ratio,charge_consistency,tenure_log,is_new_user,is_long_term,MonthlyCharges_log,TotalCharges_log,AvgCharges,LongTermCustomer
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,29.85,29.85,0,0,0,0,0,1,0,1,29.85,1.0,0.6931471805599453,1,0,3.4291367503513968,3.4291367503513968,29.85,0
1,0,0,0,34,1,0,1,0,1,0,0,0,1,0,56.95,1889.5,0,0,0,0,0,0,1,3,1.675,0.9758301916025408,3.5553480614894135,0,0,4.059580569785761,7.544596623330987,55.5735294117647,1
1,0,0,0,2,1,0,1,1,0,0,0,0,0,1,53.85,108.15,1,0,0,0,0,0,1,3,26.925,1.0041782729805013,1.0986122886681098,1,0,4.00460218672124,4.692723082995953,54.075,0
1,0,0,0,45,0,0,1,0,1,1,0,0,1,0,42.3,1840.75,0,0,0,1,0,0,0,3,0.94,0.9670344102968218,3.828641396489095,0,0,3.768152635008444,7.518471485562923,40.90555555555556,1
0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,70.7,151.65,1,1,0,0,0,1,0,1,35.35,1.0724893917963225,1.0986122886681098,1,0,4.272490747605575,5.028147719180887,75.825,0
0,0,0,0,8,1,1,0,0,1,0,1,1,0,1,99.65,820.5,1,1,0,0,0,1,0,5,12.45625,1.0292272955343702,2.1972245773362196,0,0,4.611649152085801,6.711131937477322,102.5625,0
1,0,0,1,22,1,1,0,1,0,0,1,0,0,1,89.1,1949.4,0,1,0,0,1,0,0,4,4.05,0.9944903581267219,3.1354942159291497,0,0,4.500920164614292,7.575789758727007,88.60909090909091,0
0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,29.75,301.9,0,0,0,0,0,0,1,1,2.975,1.0147899159663865,2.3978952727983707,0,0,3.4258899942525267,5.713402718033191,30.189999999999998,0
0,0,1,0,28,1,1,0,0,1,1,1,1,0,1,104.8,3046.05,1,1,0,0,0,1,0,6,3.742857142857143,1.0380486641221374,3.367295829986474,0,0,4.661550519424199,8.02192918843427,108.78750000000001,1
1,0,0,1,62,1,0,1,1,0,0,0,0,1,0,56.15,3487.95,0,0,0,1,0,0,0,3,0.9056451612903226,1.0019102059575447,4.143134726391533,0,1,4.04567939024082,8.15735611033029,56.25725806451613,1
1,0,1,1,13,1,0,1,0,0,0,0,0,0,1,49.95,587.45,0,0,0,0,0,0,1,2,3.8423076923076924,0.9046739046739047,2.6390573296152584,0,0,3.9308447596687337,6.377491961323671,45.18846153846154,0
